Entry ID,Total Number of Polymer Instances (Chains),Entity Polymer Type,Polymer Entity Sequence Length,Total Number of polymer Entity Instances (Chains) per Entity
,,"Protein",426,18
"7UKG",8,"Protein",524,4
,,"Protein",801,4
"7VD6",11,"Protein",207,5
,,"Protein",207,1
,,"Protein",210,1
,,"Protein",207,1
,,"Protein",271,1
,,"Protein",223,1
,,"Protein",195,1
"7VRT",191,"Protein",521,180
,,"Protein",427,11
"7W8G",12,"Protein",868,2
,,"Protein",971,2
,,"Protein",933,2
,,"Protein",775,2
,,"Protein",1017,2
,,"Protein",845,2
"7WM1",4,"Protein",885,2
,,"Protein",690,2
"7XUF",4,"Protein",662,2
,,"Protein",857,2
"7Y4Q",4,"Protein",694,2
,,"Protein",552,2
"8A3J",8,"Protein",25,4
,,"Protein",25,4
"8B42",6,"Protein",817,4
,,"Protein",811,2
"8C5C",52,"Protein",446,26
,,"Protein",451,26
"8CZO",44,"Protein",94,22
,,"Protein",106,22
